글번호,등록일자,등록시간,등록자이름,이메일,비밀번호,글내용,
1,2021-05-11,10:10:17,갈한수,Kor001@naver.com,1234,"국회의 정기회는 법률이 정하는 바에 의하여 매년 1회 집회되며, 국회의 임시회는 대통령 또는 국회재적의원 4분의 1 이상의 요구에 의하여 집회된다. 형사피고인은 유죄의 판결이 확정될 때까지는 무죄로 추정된다. 국회는 국정을 감사하거나 특정한 국정사안에 대하여 조사할 수 있으며, 이에 필요한 서류의 제출 또는 증인의 출석과 증언이나 의견의 진술을 요구할 수 있다.",
2,2021-05-21,10:10:08,강이찬,Kor002@naver.com,1234,"연소자의 근로는 특별한 보호를 받는다. 선거에 관한 경비는 법률이 정하는 경우를 제외하고는 정당 또는 후보자에게 부담시킬 수 없다. 훈장등의 영전은 이를 받은 자에게만 효력이 있고, 어떠한 특권도 이에 따르지 아니한다.",
3,2021-05-12,10:10:11,개원훈,Kor003@naver.com,1234,"국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 계엄을 선포한 때에는 대통령은 지체없이 국회에 통고하여야 한다.",
4,2021-05-01,10:10:46,경시현,Kor004@naver.com,1234,"국회는 의장 1인과 부의장 2인을 선출한다. 중앙선거관리위원회는 법령의 범위안에서 선거관리·국민투표관리 또는 정당사무에 관한 규칙을 제정할 수 있으며, 법률에 저촉되지 아니하는 범위안에서 내부규율에 관한 규칙을 제정할 수 있다.",
5,2021-05-24,10:10:56,공동영,Kor005@naver.com,1234,"국가는 모성의 보호를 위하여 노력하여야 한다. 재의의 요구가 있을 때에는 국회는 재의에 붙이고, 재적의원과반수의 출석과 출석의원 3분의 2 이상의 찬성으로 전과 같은 의결을 하면 그 법률안은 법률로서 확정된다.",
6,2021-05-05,10:10:36,기대연,Kor006@naver.com,1234,"대통령의 국법상 행위는 문서로써 하며, 이 문서에는 국무총리와 관계 국무위원이 부서한다. 군사에 관한 것도 또한 같다. 대통령은 국가의 독립·영토의 보전·국가의 계속성과 헌법을 수호할 책무를 진다",
7,2021-05-08,10:10:28,기원호,Kor007@naver.com,1234,"국가는 농업 및 어업을 보호·육성하기 위하여 농·어촌종합개발과 그 지원등 필요한 계획을 수립·시행하여야 한다. 정당의 목적이나 활동이 민주적 기본질서에 위배될 때에는 정부는 헌법재판소에 그 해산을 제소할 수 있고, 정당은 헌법재판소의 심판에 의하여 해산된다.",
8,2021-05-23,10:10:20,기은성,Kor008@naver.com,1234,모든 국민은 법 앞에 평등하다. 누구든지 성별·종교 또는 사회적 신분에 의하여 정치적·경제적·사회적·문화적 생활의 모든 영역에 있어서 차별을 받지 아니한다.,
9,2021-05-06,10:10:12,나한율,Kor009@naver.com,1234,"법률안에 이의가 있을 때에는 대통령은 제1항의 기간내에 이의서를 붙여 국회로 환부하고, 그 재의를 요구할 수 있다. 국회의 폐회중에도 또한 같다. 각급 선거관리위원회는 선거인명부의 작성등 선거사무와 국민투표사무에 관하여 관계 행정기관에 필요한 지시를 할 수 있다.",
10,2021-05-12,10:10:23,남동예,Kor010@naver.com,1234,"비상계엄하의 군사재판은 군인·군무원의 범죄나 군사에 관한 간첩죄의 경우와 초병·초소·유독음식물공급·포로에 관한 죄중 법률이 정한 경우에 한하여 단심으로 할 수 있다. 다만, 사형을 선고한 경우에는 그러하지 아니하다.",
11,2021-05-08,10:10:32,낭시우,Kor011@naver.com,1234,"대통령은 국가의 원수이며, 외국에 대하여 국가를 대표한다. 선거운동은 각급 선거관리위원회의 관리하에 법률이 정하는 범위안에서 하되, 균등한 기회가 보장되어야 한다.",
12,2021-05-03,10:10:14,내세원,Kor012@naver.com,1234,연소자의 근로는 특별한 보호를 받는다. 국민경제자문회의의 조직·직무범위 기타 필요한 사항은 법률로 정한다. 모든 국민은 통신의 비밀을 침해받지 아니한다.,
13,2021-05-14,10:10:04,뇌성수,Kor013@naver.com,1234,"헌법재판소는 법관의 자격을 가진 9인의 재판관으로 구성하며, 재판관은 대통령이 임명한다. 국가는 모성의 보호를 위하여 노력하여야 한다. 국가의 세입·세출의 결산, 국가 및 법률이 정한 단체의 회계검사와 행정기관 및 공무원의 직무에 관한 감찰을 하기 위하여 대통령 소속하에 감사원을 둔다.",
14,2021-05-25,10:10:48,단수혁,Kor014@naver.com,1234,"법률은 특별한 규정이 없는 한 공포한 날로부터 20일을 경과함으로써 효력을 발생한다. 국회는 국정을 감사하거나 특정한 국정사안에 대하여 조사할 수 있으며, 이에 필요한 서류의 제출 또는 증인의 출석과 증언이나 의견의 진술을 요구할 수 있다.",
15,2021-05-16,10:10:28,담성민,Kor015@naver.com,1234,"혼인과 가족생활은 개인의 존엄과 양성의 평등을 기초로 성립되고 유지되어야 하며, 국가는 이를 보장한다. 국회의원은 그 지위를 남용하여 국가·공공단체 또는 기업체와의 계약이나 그 처분에 의하여 재산상의 권리·이익 또는 직위를 취득하거나 타인을 위하여 그 취득을 알선할 수 없다.",
